"study","group","id","partner_id","bonus","finalprice","enjoy","age","gender","seller","nice","tough"
"one",77,"HC73Q","SCE9N",1.4,360,5,19,"0",0,0,1
"one",78,"Z4S7Y","JD97P",1.4,440,4,20,"0",1,0,0
"one",78,"JD97P","Z4S7Y",0.6,440,4,20,"1",0,1,0
"one",79,"U7BAH","UXYDZ",0.9,390,3,36,"0",1,0,0
"one",79,"UXYDZ","U7BAH",1.1,390,5,35,"1",0,1,0
"one",81,"DFUGX","47GU8",1,400,4,34,"1",1,0,0
"one",81,"47GU8","DFUGX",1,400,4,29,"1",0,1,0
"one",82,"CFDZ6","E9HRY",1,400,3,22,"0",1,0,0
"one",82,"E9HRY","CFDZ6",1,400,3,22,"1",0,1,0
"one",86,"WXHH5","NQZZ3",1,400,4,21,"1",1,0,1
"one",86,"NQZZ3","WXHH5",1,400,4,19,"1",0,0,1
"one",87,"BJJ9K","NU5PS",1.3,425,4,27,"1",1,0,0
"one",87,"NU5PS","BJJ9K",0.7,425,3,21,"1",0,1,0
"one",88,"DAZFF","QH2MH",0.7,373,4,43,"1",1,0,1
"one",88,"QH2MH","DAZFF",1.3,373,3,22,"0",0,0,1
"one",90,"958FQ","4FU5Z",1,400,3,19,"1",1,0,1
"one",90,"4FU5Z","958FQ",1,400,3,29,"1",0,0,1
"one",91,"XWGBJ","VYAFM",0.3,325,3,27,"0",1,0,1
"one",91,"VYAFM","XWGBJ",1.7,325,2,20,"0",0,0,1
"one",92,"TNWCH","4NUTE",1.3,425,3,30,"0",1,0,0
"one",92,"4NUTE","TNWCH",0.7,425,3,36,"0",0,1,0
"one",93,"B4U7P","M4582",0.5,350,3,47,"1",1,0,0
"one",93,"M4582","B4U7P",1.5,350,4,19,"0",0,1,0
"one",94,"7RUNZ","MEQYH",0,275,3,61,"0",1,0,1
"one",94,"MEQYH","7RUNZ",2.2,275,4,75,"1",0,0,1
"one",98,"WJN4W","ZH6JA",1.3,425,5,19,"1",1,0,0
"one",98,"ZH6JA","WJN4W",0.7,425,2,32,"0",0,1,0
"one",99,"A69BS","H3ZVP",0,250,5,28,"1",1,0,0
"one",99,"H3ZVP","A69BS",2.5,250,3,24,"0",0,1,0
"one",100,"UTW5X","MXKWY",0,300,5,27,"0",1,0,1
"one",100,"MXKWY","UTW5X",2,300,4,60,"1",0,0,1
"one",101,"WHMQ5","6KTPH",0.1,310,4,57,"Male",1,0,1
"one",101,"6KTPH","WHMQ5",1.9,310,2,28,"1",0,0,1
"two",97,"8MSAH ","ZH4TF ",1.3,425,3,26,"1",1,0,1
"two",97,"ZH4TF ","8MSAH ",0.7,425,2,23,"0",0,0,1
"two",87,"YE5G7 ","XKF7A ",0,290,4,22,"0",1,1,0
"two",87,"XKF7A ","YE5G7 ",2.1,290,5,26,"1",0,1,0
"two",17,"U45SV ","W8YYW ",0.4,340,1,20,"1",1,0,1
"two",17,"W8YYW ","U45SV ",1.6,340,3,22,"1",0,0,1
"two",111,"NUVBM ","E5BG7 ",0.8,375,4,20,"0",1,1,0
"two",111,"E5BG7 ","NUVBM ",1.2,375,2,22,"0",0,1,0
"two",100,"NRRBM ","58QF4 ",0.5,350,3,27,"0",1,0,1
"two",100,"58QF4 ","NRRBM ",1.5,350,4,60,"1",0,0,1
"two",108,"6RSAK ","8HF2Q ",0,300,3,34,"0",1,0,1
"two",108,"8HF2Q ","6RSAK ",2,300,5,22,"1",0,0,1
"two",67,"A8VN7 ","H5AWN ",0.6,360,3,70,"0",1,1,0
"two",67,"H5AWN ","A8VN7 ",1.4,360,5,22,"0",0,1,0
"two",103,"TEW5C ","EWSYP ",0,300,4,28,"1",1,0,1
"two",103,"EWSYP ","TEW5C ",2,300,5,26,"1",0,0,1
"two",124,"3CMXK ","BZACV ",0.5,350,4,19,"1",1,0,1
"two",124,"BZACV ","3CMXK ",1.5,350,3,21,"1",0,0,1
"two",114,"YBV7V ","R7RXA ",0,300,5,23,"1",1,0,1
"two",114,"R7RXA ","YBV7V ",2,300,3,20,"1",0,0,1
"two",44,"AT3A5 ","C4VGF ",0.8,375,4,53,"1",1,0,1
"two",44,"C4VGF ","AT3A5 ",1.2,375,5,22,"0",0,0,1
"two",32,"CABZW ","HHDXS ",0.3,325,4,77,"1",1,0,1
"two",32,"HHDXS ","CABZW ",1.7,325,3,21,"0",0,0,1
"two",83,"3F65X ","GUTP9 ",1.9,490,3,20,"1",1,0,1
"two",83,"GUTP9 ","3F65X ",0.1,490,2,23,"0",0,0,1
"two",74,"5SE37 ","P2HYT ",1.5,450,4,29,"1",1,1,0
"two",74,"P2HYT ","5SE37 ",0.5,450,4,29,"0",0,1,0
"two",134,"8ZFAX ","PGHXE ",0.1,310,3,21,"1",1,0,1
"two",134,"PGHXE ","8ZFAX ",1.9,310,5,19,"0",0,0,1
"two",94,"YUSVU ","AD499 ",0.3,325,2,20,"1",1,0,1
"two",94,"AD499 ","YUSVU ",1.7,325,4,30,"0",0,0,1
"two",120,"ME6S9 ","KNM93 ",0.9,390,5,21,"0",1,0,1
"two",120,"KNM93 ","ME6S9 ",1.1,390,4,21,"1",0,0,1
"two",142,"XA9KR ","4CGA8 ",1,400,5,47,"0",1,0,1
"two",142,"4CGA8 ","XA9KR ",1,400,3,22,"1",0,0,1
"two",11,"Y9Q2K ","8ETAQ ",1.8,475,5,19,"1",1,1,0
"two",11,"8ETAQ ","Y9Q2K ",0.2,475,4,21,"1",0,1,0
"two",144,"QCNW8 ","7ABTD ",1,400,4,30,"0",1,1,0
"two",144,"7ABTD ","QCNW8 ",1,400,2,21,"1",0,1,0
"two",60,"WBDNP ","PMYJY ",0.3,325,4,19,"1",1,0,1
"two",60,"PMYJY ","WBDNP ",1.7,325,5,22,"1",0,0,1
"two",105,"STQXD ","JKEVZ ",0.2,320,3,39,"0",1,1,0
"two",105,"JKEVZ ","STQXD ",1.8,320,5,29,"1",0,1,0
"two",49,"RVYQ4 ","GWU33 ",1,400,4,57,"0",1,1,0
"two",49,"GWU33 ","RVYQ4 ",1,400,4,47,"0",0,1,0
"two",76,"7NUVY ","43RV9 ",0.5,350,1,28,"1",1,0,1
"two",76,"43RV9 ","7NUVY ",1.5,350,4,19,"1",0,0,1
"two",121,"F5NZY ","9V2RJ ",0,250,4,19,"0",1,1,0
"two",121,"9V2RJ ","F5NZY ",2.5,250,4,22,"1",0,1,0
"two",40,"VK2MW ","4VUWP ",1,400,1,20,"1",1,0,1
"two",40,"4VUWP ","VK2MW ",1,400,1,19,"1",0,0,1
"two",95,"T8QPU ","NFW3P ",0,300,3,36,"1",1,1,0
"two",95,"NFW3P ","T8QPU ",2,300,2,20,"1",0,1,0
"two",41,"T8X4K ","JK8VG ",0,NA,3,50,"0",1,1,0
"two",41,"JK8VG ","T8X4K ",0,NA,3,22,"0",0,1,0
"two",155,"UFUQT ","GSQRX ",0.5,350,4,22,"0",1,0,1
"two",155,"GSQRX ","UFUQT ",1.5,350,2,20,"0",0,0,1
"two",137,"A44BB ","QTU43 ",0.5,350,3,34,"0",1,1,0
"two",137,"QTU43 ","A44BB ",1.5,350,5,24,"0",0,1,0
"two",20,"ZTBD7 ","KDDN5 ",0,NA,NA,NA,NA,1,0,1
"two",20,"KDDN5 ","ZTBD7 ",0,NA,NA,NA,NA,0,0,1
"two",9,"53T6Q ","4CK2F ",1.5,450,3,22,"0",1,1,0
"two",9,"4CK2F ","53T6Q ",0.5,450,3,22,"0",0,1,0
"two",140,"EZUAT ","WES4P ",0.5,350,4,20,"0",1,0,1
"two",140,"WES4P ","EZUAT ",1.5,350,4,21,"1",0,0,1
"two",128,"5DRK2 ","CXW2V ",2,500,4,19,"0",1,1,0
"two",128,"CXW2V ","5DRK2 ",0,500,3,27,"1",0,1,0
"two",69,"BHSY3 ","3VZ5K ",0.5,350,3,19,"0",1,1,0
"two",69,"3VZ5K ","BHSY3 ",1.5,350,4,22,"0",0,1,0
"two",7,"B3826 ","JR2ND ",1,400,4,18,"0",1,0,1
"two",7,"JR2ND ","B3826 ",1,400,4,64,"1",0,1,0
"two",102,"33BJN ","J7U8F ",1,400,3,33,"1",1,1,0
"two",102,"J7U8F ","33BJN ",1,400,4,23,"0",0,1,0
"two",80,"Y7PR7 ","63UVH ",0,300,4,18,"1",1,1,0
"two",80,"63UVH ","Y7PR7 ",2,300,5,25,"0",0,1,0
"two",153,"V3HU8 ","RRJ9K ",0.1,310,1,21,"0",1,0,1
"two",153,"RRJ9K ","V3HU8 ",1.9,310,2,22,"1",0,0,1
"two",126,"PM8V4 ","4QPAZ ",0,300,2,30,"1",1,0,1
"two",126,"4QPAZ ","PM8V4 ",2,300,2,22,"0",0,0,1
"two",92,"WYGK8 ","44UGA ",1,400,3,19,"1",1,1,0
"two",92,"44UGA ","WYGK8 ",1,400,4,23,"1",0,1,0
"two",13,"E2ED6 ","PSWGH ",0,NA,NA,NA,NA,1,0,1
"two",13,"PSWGH ","E2ED6 ",0,NA,NA,NA,NA,0,0,1
"two",141,"DBQTJ ","SF35F ",0.3,330,3,21,"1",1,1,0
"two",141,"SF35F ","DBQTJ ",1.7,330,3,28,"0",0,1,0
"two",117,"UMDYJ ","AW868 ",2.5,550,1,18,"1",1,0,1
"two",117,"AW868 ","UMDYJ ",0,550,1,18,"1",0,0,1
"two",129,"7TVMW ","ZY2HU ",0.5,350,2,21,"1",1,0,1
"two",129,"ZY2HU ","7TVMW ",1.5,350,3,19,"0",0,0,1
